schemaname,tablename,indexname,tablespace,indexdef
public,mail_chimp_appeal_lists,index_mail_chimp_appeal_lists_on_appeal_list_id,,CREATE INDEX index_mail_chimp_appeal_lists_on_appeal_list_id ON mail_chimp_appeal_lists USING btree (appeal_list_id)
public,mail_chimp_appeal_lists,index_mail_chimp_appeal_lists_on_mail_chimp_account_id,,CREATE INDEX index_mail_chimp_appeal_lists_on_mail_chimp_account_id ON mail_chimp_appeal_lists USING btree (mail_chimp_account_id)
public,mail_chimp_members,mail_chimp_members_email_list_account_uniq,,"CREATE UNIQUE INDEX mail_chimp_members_email_list_account_uniq ON mail_chimp_members USING btree (mail_chimp_account_id, list_id, email)"
public,mail_chimp_members,index_mail_chimp_members_on_email,,CREATE INDEX index_mail_chimp_members_on_email ON mail_chimp_members USING btree (email)
public,mail_chimp_members,index_mail_chimp_members_on_list_id,,CREATE INDEX index_mail_chimp_members_on_list_id ON mail_chimp_members USING btree (list_id)
public,mail_chimp_members,index_mail_chimp_members_on_mail_chimp_account_id,,CREATE INDEX index_mail_chimp_members_on_mail_chimp_account_id ON mail_chimp_members USING btree (mail_chimp_account_id)
public,pls_accounts,index_pls_accounts_on_account_list_id,,CREATE INDEX index_pls_accounts_on_account_list_id ON pls_accounts USING btree (account_list_id)
public,donor_accounts,index_donor_accounts_on_acct_num_trig,,CREATE INDEX index_donor_accounts_on_acct_num_trig ON donor_accounts USING gin (account_number gin_trgm_ops)
public,donor_accounts,index_donor_accounts_on_account_number,,CREATE INDEX index_donor_accounts_on_account_number ON donor_accounts USING btree (account_number)
public,donor_accounts,index_donor_accounts_on_total_donations,,CREATE INDEX index_donor_accounts_on_total_donations ON donor_accounts USING btree (total_donations)
public,donor_accounts,index_donor_accounts_on_organization_id_and_account_number,,"CREATE UNIQUE INDEX index_donor_accounts_on_organization_id_and_account_number ON donor_accounts USING btree (organization_id, account_number)"
public,donor_accounts,index_donor_accounts_on_last_donation_date,,CREATE INDEX index_donor_accounts_on_last_donation_date ON donor_accounts USING btree (last_donation_date)
public,donor_accounts,index_donor_accounts_on_organization_id,,CREATE INDEX index_donor_accounts_on_organization_id ON donor_accounts USING btree (organization_id)
public,currency_rates,index_currency_rates_on_code_and_exchanged_on,,"CREATE UNIQUE INDEX index_currency_rates_on_code_and_exchanged_on ON currency_rates USING btree (code, exchanged_on)"
public,currency_rates,index_currency_rates_on_code,,CREATE INDEX index_currency_rates_on_code ON currency_rates USING btree (code)
public,currency_rates,index_currency_rates_on_exchanged_on,,CREATE INDEX index_currency_rates_on_exchanged_on ON currency_rates USING btree (exchanged_on)
public,contact_notes_logs,index_contact_notes_logs_on_recorded_on,,CREATE INDEX index_contact_notes_logs_on_recorded_on ON contact_notes_logs USING btree (recorded_on)
public,contact_notes_logs,index_contact_notes_logs_on_contact_id,,CREATE INDEX index_contact_notes_logs_on_contact_id ON contact_notes_logs USING btree (contact_id)
public,partner_status_logs,index_partner_status_logs_on_recorded_on,,CREATE INDEX index_partner_status_logs_on_recorded_on ON partner_status_logs USING btree (recorded_on)
public,partner_status_logs,index_partner_status_logs_on_contact_id,,CREATE INDEX index_partner_status_logs_on_contact_id ON partner_status_logs USING btree (contact_id)
